Fecha,PREC_21205770_BASE_AEREA_MADRID_MADRID,TMin_21205880_FLORES_CHIBCHA_MADRID,TMin_21206060_CASABLANCA_MADRID,PREC_21205420_TIBAITATA_MOSQUERA,TMax_21205420_TIBAITATA_MOSQUERA,TMin_21205420_TIBAITATA_MOSQUERA,PREC_21205960_TACHI_SUBACHOQUE,TMin_21205960_TACHI_SUBACHOQUE,PREC_21201210_EL_HATO_TENJO,TMax_21205980_GRANJA_PROVIDENCIA_TENJO,TMin_21205980_GRANJA_PROVIDENCIA_TENJO,PREC_21206280_ACAPULCO_BOJACA,TMin_21205870_EL_SALITRE_BOJACA,PREC_21201070_EL_CORAZON_FACATATIVA,TMin_21205940_VILLA_INES_FACATATIVA
1996-02-06,0.2,5.8,5.0,0.0,18.5,8.7,0.0,4.8,0.6,18.3,8.8,0.0,5.6,0.5,6.0
1996-02-07,0.8,7.6,7.0,0.4666666666666666,17.0,8.5,0.0,6.8,1.2,16.8,8.6,0.8,7.4,1.0,8.4
1996-02-08,1.4,6.6,4.0,0.9333333333333332,19.3,6.6,0.0,5.0,0.6,18.8,5.4,1.4,8.2,1.5,8.2
1996-02-09,0.9,8.2,4.0,1.4,17.8,8.0,0.0,4.4,0.0,18.8,6.2,2.0,8.4,2.0,7.8
1996-02-10,1.1,6.2,6.0,1.0499999999999998,18.1,6.8,0.0,6.6,1.2,18.4,7.4,2.0,5.4,2.5,4.8
1996-02-11,0.0,9.2,3.0,0.7,17.7,7.6,0.0,7.6,0.2,18.5,9.7,0.0,7.2,0.0,6.4
1996-02-12,0.0,9.2,6.4,0.35,19.5,8.3,0.0,10.4,0.0,19.8,9.0,0.0,6.8,1.0,7.2
1996-02-13,0.0,8.6,5.0,0.0,16.4,9.5,0.0,9.8,0.0,16.3,9.3,0.0,7.6,0.0,8.2
1996-02-14,0.0,5.6,4.0,0.0,17.5,6.8,0.0,6.271705938947498,0.0,18.2,6.6,0.0,4.6,0.0,4.0
1996-02-15,0.0,3.6,2.0,0.0,19.5,3.8,0.0,4.2,0.0,20.7,4.6,0.0,2.8,0.0,4.8
1996-02-16,0.2,4.8,5.0,0.4,19.2,8.2,0.0,5.8,0.0,19.4,6.2,0.0,5.8,0.0,5.2
1996-02-17,0.1,10.4,4.0,0.7,17.5,9.3,0.0,8.2,0.0,18.0,9.9,0.0,8.6,1.2,8.2
1996-02-18,0.0,6.6,3.5,0.7,16.5,8.3,0.0,7.8,0.0,16.8,7.3,0.0,6.2,0.0,5.6
1996-02-19,0.0,4.8,3.0,1.5,20.7,5.9,0.0,2.441312406069775,0.0,21.6,1.0,0.0,4.4,2.4,4.2
1996-02-20,0.0,1.2,3.0,0.0,20.5,4.6,0.0,1.2,0.0,22.5,0.6,0.0,4.2,0.0,4.4
1996-02-21,0.3,4.2,4.0,0.0,20.2,6.4,0.0,2.0,0.0,23.0,3.7,0.0,5.4,0.0,5.4
1996-02-22,0.2,3.6,4.0,0.0,19.9,5.4,0.0,2.2,0.0,21.4,5.0,0.0,4.8,0.0,3.8
1996-02-23,0.0,7.6,6.0,0.0,19.9,7.2,0.0,6.6,0.0,20.8,7.4,0.0,7.2,0.0,7.0
1996-02-24,0.0,5.8,6.0,0.0,20.7,7.6,0.0,8.2,0.0,22.2,8.182170528690047,0.0,5.2,0.0,7.0
1996-02-25,0.0,1.2,4.0,0.0,20.1,2.2,0.0,1.8,0.0,21.7,0.2,0.0,0.1,0.0,2.4
1996-02-26,0.0,6.2,7.0,0.0,18.9,8.5,0.0,9.0,0.0,20.0,8.8,0.0,3.0,0.0,2.0
1996-02-27,0.0,3.6,3.0,0.0,18.7,4.3,0.0,6.8,0.0,20.0,5.8,0.0,3.8,0.0,1.0
1996-02-28,1.4,4.4,3.0,0.0,21.0,4.8,0.0,6.6,0.06666666666666667,22.2,4.6,0.0,5.2,0.0,0.0
1996-02-29,0.0,6.8,5.0,0.0,20.5,6.1,0.0,6.8,0.13333333333333333,19.6,5.7,0.0,8.2,0.0,2.8
