Fecha,TMIN_Real,TMIN_Predicha,Error,Error_Abs,Helada_Real,Helada_Predicha
2020-12-30,6.0,5.782004483473461,0.21799551652653903,0.21799551652653903,0,0
2020-12-31,10.4,5.791263689918401,4.608736310081599,4.608736310081599,0,0
2021-01-01,4.8,7.920702099981011,-3.1207020999810116,3.1207020999810116,0,0
2021-01-02,5.6,5.101359647014341,0.49864035298565845,0.49864035298565845,0,0
2021-01-03,8.6,6.026531775101633,2.5734682248983667,2.5734682248983667,0,0
2021-01-04,4.0,7.329361100205606,-3.329361100205606,3.329361100205606,0,0
2021-01-05,4.4,4.97503703237253,-0.5750370323725296,0.5750370323725296,0,0
2021-01-06,6.4,5.341138704963481,1.058861295036519,1.058861295036519,0,0
2021-01-07,3.6,6.0549658051981785,-2.4549658051981784,2.4549658051981784,0,0
2021-01-08,3.8,4.645889758450345,-0.8458897584503449,0.8458897584503449,0,0
2021-01-09,8.8,4.822225681739793,3.9777743182602077,3.9777743182602077,0,0
2021-01-10,7.6,7.207105221169504,0.3928947788304953,0.3928947788304953,0,0
2021-01-11,6.8,6.502005299977268,0.29799470002273143,0.29799470002273143,0,0
2021-01-12,1.8,6.33104337728116,-4.5310433772811605,4.5310433772811605,0,0
2021-01-13,2.6,3.740889307456994,-1.1408893074569941,1.1408893074569941,0,0
2021-01-14,3.0,4.451684313474667,-1.4516843134746669,1.4516843134746669,0,0
2021-01-15,3.6,4.487939538933201,-0.887939538933201,0.887939538933201,0,0
2021-01-16,3.6,4.41093585437587,-0.8109358543758698,0.8109358543758698,0,0
2021-01-17,2.8,4.259635386177509,-1.459635386177509,1.459635386177509,0,0
2021-01-18,1.6,3.742227778485475,-2.142227778485475,2.142227778485475,0,0
2021-01-19,1.4,3.1949604591371568,-1.7949604591371568,1.7949604591371568,0,0
2021-01-20,1.2,3.2192222096973295,-2.01922220969733,2.01922220969733,0,0
2021-01-21,1.4,2.9799739469159987,-1.5799739469159988,1.5799739469159988,0,0
2021-01-22,4.0,3.029168545159985,0.970831454840015,0.970831454840015,0,0
2021-01-23,6.2,4.17542860523246,2.0245713947675403,2.0245713947675403,0,0
2021-01-24,5.0,5.262049987846048,-0.2620499878460478,0.2620499878460478,0,0
2021-01-25,0.8,4.859432951218629,-4.059432951218629,4.059432951218629,0,0
2021-01-26,1.4,2.781103568744645,-1.3811035687446451,1.3811035687446451,0,0
2021-01-27,1.2,3.263662960583657,-2.063662960583657,2.063662960583657,0,0
2021-01-28,6.0,2.9639201665987236,3.0360798334012764,3.0360798334012764,0,0
2021-01-29,0.0,5.175698384209127,-5.175698384209127,5.175698384209127,1,0
2021-01-30,-0.8,1.8392839925846545,-2.6392839925846543,2.6392839925846543,1,0
2021-01-31,0.8,1.9693942578099577,-1.1693942578099576,1.1693942578099576,0,0
2021-02-01,5.6,2.954553603651026,2.645446396348974,2.645446396348974,0,0
2021-02-02,1.6,5.1658149562943425,-3.5658149562943424,3.5658149562943424,0,0
2021-02-03,0.2,3.0211909316587877,-2.8211909316587875,2.8211909316587875,0,0
2021-02-04,0.0,2.537232161222724,-2.537232161222724,2.537232161222724,1,0
2021-02-05,7.8,2.55787652147228,5.24212347852772,5.24212347852772,0,0
2021-02-06,5.0,6.34979243415135,-1.3497924341513503,1.3497924341513503,0,0
2021-02-07,9.2,4.726367857525969,4.47363214247403,4.47363214247403,0,0
2021-02-08,9.2,7.336424514789071,1.8635754852109283,1.8635754852109283,0,0
2021-02-09,11.2,7.173862949350967,4.026137050649032,4.026137050649032,0,0
2021-02-10,6.2,8.558121811060476,-2.3581218110604754,2.3581218110604754,0,0
2021-02-11,5.8,6.181929872149941,-0.3819298721499411,0.3819298721499411,0,0
2021-02-12,5.8,6.204032133408074,-0.40403213340807387,0.40403213340807387,0,0
2021-02-13,5.4,6.160646947122327,-0.7606469471223267,0.7606469471223267,0,0
2021-02-14,6.2,5.830452078436685,0.3695479215633153,0.3695479215633153,0,0
